study_id,citation,source_type,population,n,intervention,comparator,outcome,unit,timepoint_months,effect_type,effect_value,ci_low,ci_high,p_value,direction,confidence,disease_match,quantitative,model_target,notes
sparx2018,"Schenkman et al. 2018, JAMA Neurology (PMID 29228079)",RCT,de novo unmedicated PD age 40-80,128,aerobic-exercise,usual care,UPDRS-III motor change,points over 6 mo,6,raw-means,0.3,-1.7,2.3,0.03,increase,high,PD,true,bench.pd-exercise.updrs,"high-intensity treadmill (80-85% maxHR): 0.3-pt worsening vs 3.2-pt in controls (p=.03); moderate intensity did not separate"
hirsch2018,"Hirsch, van Wegen, Newman & Heyn 2018, Transl Neurodegener (PMID 29568518)",meta-analysis,ambulatory PD,100,aerobic-exercise,control,BDNF,serum SMD,,SMD,2.06,1.36,2.76,,increase,medium,PD,true,coef.bdnf.ex-pd,"pools 2 RCTs + 4 pre-post designs, likely inflated; also UPDRS-III MD -5.53 [-10.42,-0.64]; prefer Kaagman RCT-only value"
kaagman2024,"Kaagman, van Wegen et al. 2024, Brain Sciences (DOI 10.3390/brainsci14030194)",meta-analysis,PD,216,aerobic-exercise,control,BDNF,serum SMD,,SMD,1.2,0.53,1.87,0.0004,increase,medium,PD,true,coef.bdnf.ex-pd,"5 RCTs I2=77%; RCT-only estimate; PD exercise-BDNF response far larger than healthy-adult g=0.28 (Szuhany)"
marek2001,"Marek et al. 2001, Neurology (PMID 11739831)",cohort,PD (n=32) vs healthy controls (n=24) serial SPECT,56,none,healthy controls,striatal DAT binding decline,% of baseline per year,12,percent-change,-11.2,,,0.001,decrease,high,PD,true,bench.pd-untreated.dopa,"dopaminergic terminal loss 11.2%/yr in PD vs 0.8%/yr controls; classic progression anchor for the dopamine trajectory"
kwok2019,"Kwok et al. 2019, JAMA Neurology (PMID 30958514)",RCT,mild-moderate PD,138,meditation,stretching/resistance exercise,HADS depression & anxiety,points,2,mean-diff,-2.75,-3.71,-1.79,0.001,decrease,high,PD,true,context.pd-meditation,"mindfulness yoga beat active exercise control on depression (and anxiety -1.79 [-2.85,-0.69]); motor gains similar between arms"
groot2016,"Groot et al. 2016, Ageing Res Rev 25:13-23 (PMID 26607411)",meta-analysis,dementia incl. AD,802,aerobic-exercise,non-exercise control,cognition-composite,SMD,,SMD,0.42,0.23,0.62,0.01,increase,high,AD,true,coef.cog.ex,"18 RCTs; AD-only subgroup SMD 0.38 [0.09,0.66]; aerobic-only 0.41 [0.05,0.76]; non-aerobic null"
zhu2022,"Zhu et al. 2022, Front Aging Neurosci 14:771413 (PMID 35360212)",RCT,amnestic MCI,54,aerobic-exercise,usual activity,hippocampal volume,% change,3,percent-change,4.5,,,0.005,increase,medium,MCI,true,context.exercise-hippo-mci,"3-mo aerobic dance: total HV +4.5%; small n, magnitude unusually large for 3 months, treat cautiously"
zhang2025,"Zhang et al. 2025, Medicine 104(51) (PMID 41431091)",meta-analysis,older adults incl. neurodegenerative,774,aerobic-exercise,non-exercise control,hippocampal volume,SMD,,SMD,0.09,-0.05,0.22,0.2,null-effect,medium,mixed,true,context.exercise-hippo-null,"12 RCTs pooled effect NULL; counterweight to Erickson/Zhu — model exercise-hippo effect small/uncertain"
cai2026-het,"Cai et al. 2026, Front Aging Neurosci 18 (PMID 42459526)",meta-analysis,AD-continuum APOE4 heterozygotes vs non-carriers,4311,none,non-carriers,hippocampal atrophy rate,mm3/year extra loss,12,mean-diff,-34.32,-52.31,-16.32,0.000185,decrease,high,AD,true,coef.apoe.atrophy,"~1%/yr of a ~3500mm3 hippocampus extra (our approximation); atrophy acceleration conditional on amyloid positivity"
cai2026-hom,"Cai et al. 2026, Front Aging Neurosci 18 (PMID 42459526)",meta-analysis,AD-continuum APOE4 homozygotes vs non-carriers,4311,none,non-carriers,hippocampal atrophy rate,mm3/year extra loss,12,mean-diff,-58.25,-89.26,-27.23,0.000233,decrease,high,AD,true,coef.apoe.atrophy,"gene-dose effect supports model's per-copy multiplier; cross-sectional HV SMD -0.41 in carriers"
mazereeuw2012,"Mazereeuw et al. 2012, Neurobiol Aging (PMID 22305186)",meta-analysis,CIND/MCI subgroup of 10 RCTs,,omega-3,placebo,attention & processing speed,hedges-g,,hedges-g,0.3,0.02,0.57,0.035,increase,high,MCI,true,coef.cog.o3,"benefit specific to cognitively-impaired-not-demented; immediate recall g=0.16 [0.01,0.31]; null in healthy and in AD"
quinn2010,"Quinn et al. 2010, JAMA 304(17):1903-1911 (PMID 21045096)",RCT,mild-moderate AD APOE4-NEGATIVE subgroup,109,omega-3,placebo,ADAS-cog change,points over 18 mo,18,mean-diff,-3.88,,,0.03,increase,medium,AD,true,context.apoe4-omega3-interaction,"DHA 2g/d benefit ONLY in e4 non-carriers; null in carriers; total brain atrophy unchanged (p=.79) — challenges model's e4-boosted omega-3 clearance in established AD"
lipididiet2021,"Soininen et al. 2021, Alzheimers Dement 17(1):29-40 (PMID 32920957)",RCT,prodromal AD,311,omega-3,isocaloric placebo,cognition-composite (NTB),z-score,36,mean-diff,0.212,0.044,0.38,0.014,increase,medium,MCI,true,coef.cog.o3,"Fortasyn multinutrient (not pure omega-3): -60% cognitive decline at 36 mo; brain atrophy d=0.25-0.31; 24-mo primary was null (0.098 [-0.041,0.237])"
bai2018,"Bai et al. 2018, J Affect Disord (PMID 30138808)",meta-analysis,adults >=60 with depressive symptoms,,omega-3,placebo,depressive symptoms,cohens-d,,cohens-d,-0.202,-0.463,0.06,,null-effect,medium,mixed,true,context.omega3-mood,"overall null; high-dose >1.5g/d subgroup significant d=-0.428 [-0.822,-0.035]: dose-gated effect"
shi2025,"Shi et al. 2025, Front Public Health (PMID 40520277)",meta-analysis,SCD/MCI/AD older adults,2095,meditation,usual care,MMSE,points,,mean-diff,2.22,0.83,3.62,0.002,increase,high,mixed,true,coef.cog.med,"25 RCTs; meditation raises MMSE ~2.2 pts; also sleep PSQI -1.40; depression NS; grounds a direct meditation-cognition path"
lin2023,"Lin, Su & Heffner 2023, Innovation in Aging (GSA abstract)",meta-analysis,MCI adults ~71y,530,meditation,control,cognition-composite,SMD,,SMD,0.4,0.14,0.66,,increase,medium,MCI,true,coef.cog.med,"12 trials; conference abstract not full paper; visuospatial 0.25, long-term memory 0.21"
woods2023-mmse,"Woods et al. 2023, Cochrane CD005562.pub3 (PMID 39804128)",meta-analysis,mild-moderate dementia,1893,cognitive-stimulation,usual care,MMSE,points,,mean-diff,1.99,1.24,2.74,,increase,high,AD,true,coef.cog.cst,"25 studies; ~2-pt MMSE gain at end of treatment, near minimum clinically important difference; CALIBRATES model cstCog coefficient"
woods2023-smd,"Woods et al. 2023, Cochrane CD005562.pub3 (PMID 39804128)",meta-analysis,mild-moderate dementia,2766,cognitive-stimulation,usual care,cognition-composite,SMD,,SMD,0.4,0.25,0.55,,increase,high,AD,true,coef.cog.cst,"37 RCTs; confirms 2012 value; QoL SMD 0.25 [0.07,0.42]; communication SMD 0.53 [0.36,0.70]"
holden2018,"Holden et al. 2018, Mov Disord Clin Pract 5(1):47-53 (PMID 29662921)",cohort,de novo PD (PPMI),362,none,,MDS-UPDRS-III,points per year,12,mean-diff,2.4,,,,increase,high,PD,true,bench.pd-untreated.updrs,"linear mixed model over 5 yrs; total MDS-UPDRS +4.0/yr; implies +4.8 pts at 24 mo; no CI in abstract; CALIBRATES model's untreated UPDRS-III slope"
simuni2018-dat12,"Simuni et al. 2018, Mov Disord 33(5):771-782 (PMID 29572948)",cohort,early untreated PD (PPMI),423,none,,striatal DAT binding,% of baseline,12,percent-change,-11.2,,,0.001,decrease,high,PD,true,bench.pd-untreated.dopa,"SD 15.1; caudate -9.6% putamen -13.5%; independently reproduces Marek 2001's -11.2%/yr"
simuni2018-dat24,"Simuni et al. 2018, Mov Disord 33(5):771-782 (PMID 29572948)",cohort,early untreated PD (PPMI),423,none,,striatal DAT binding,% of baseline cumulative,24,percent-change,-17,,,0.001,decrease,high,PD,true,bench.pd-untreated.dopa24,"cumulative; year 2 adds only ~5.8%, decline decelerates; CALIBRATES model's two-slope dopamine decline (previous linear extrapolation gave -22.4%/24mo)"
simuni2018-dat48,"Simuni et al. 2018, Mov Disord 33(5):771-782 (PMID 29572948)",cohort,early untreated PD (PPMI),423,none,,striatal DAT binding,% of baseline cumulative,48,percent-change,-27.4,,,0.001,decrease,high,PD,true,context.pd-progression-shape,"putamen -30.6%; years 2-4 add ~5.2%/yr; confirms decelerating (not linear) shape"
simuni2018-updrs,"Simuni et al. 2018, Mov Disord 33(5):771-782 (PMID 29572948)",cohort,early untreated PD (PPMI),423,none,,MDS-UPDRS total (OFF),points per year,12,raw-means,7.45,,,0.0001,increase,high,PD,true,context.pd-progression-shape,"year-1 change 7.45 (SD 11.6); years 2-5: 3.11/4.0/4.7/1.74; baseline Part III 20.89 (SD 8.9) = model's UPDRS-III starting point"
kordower2013,"Kordower et al. 2013, Brain 136(8):2419-2431",other,post-mortem PD 1-27 yrs from diagnosis,37,none,age-matched controls,putamen dopaminergic terminal loss (TH/DAT),,48,qualitative,,,,,decrease,high,PD,false,context.pd-terminal-loss,"putamen TH/DAT staining virtually completely lost by 4 yrs post-diagnosis; nigral neuron loss lags terminal loss; most collapse precedes a 24-mo window"
cheng2010,"Cheng, Ulane & Burke 2010, Ann Neurol 67(6):715-725 (PMID 20517933)",review,PD at motor onset,,none,age-matched controls,SN neuron loss at motor onset,% neurons lost,,raw-means,30,,,,decrease,high,PD,true,context.pd-threshold,"~30% SN neuron loss but 50-70% putamen terminal loss at motor onset; corroborates Popescu 2024"
vanderkolk2019,"van der Kolk et al. 2019 (Park-in-Shape), Lancet Neurol 18(11):998-1008 (PMID 31521532)",RCT,PD H&Y <=2 on stable meds,130,aerobic-exercise,stretching,MDS-UPDRS-III (OFF),points,6,mean-diff,-4.2,-6.9,-1.6,0.002,decrease,high,PD,true,bench.pd-exercise.updrs,"home cycling 30-45 min x3/wk; +1.3 vs +5.6 pts in control; MCID 3.5; symptomatic attenuation, not proven disease modification; CALIBRATES exercise UPDRS-III offset"
ernst2024-endurance,"Ernst et al. 2024, Cochrane CD013856.pub3 (PMID 38588457)",meta-analysis,mild-moderate PD,2721,aerobic-exercise,passive control,UPDRS motor,points,1.5,mean-diff,-5.76,-9.78,-1.74,,decrease,medium,PD,true,coef.updrs.ex,"network meta-analysis 60 studies; CINeMA confidence low; MCID -2.5; consistent with Park-in-Shape"
ernst2024-mindbody,"Ernst et al. 2024, Cochrane CD013856.pub3 (PMID 38588457)",meta-analysis,mild-moderate PD,2721,meditation,passive control,UPDRS motor,points,1.5,mean-diff,-3.62,-7.24,0,,null-effect,low,PD,true,coef.updrs.med,"mind-body = tai chi/yoga/qigong (movement), not seated meditation; 63% of endurance effect and CI touches zero; CAPS model's meditation motor offset at 0.6x exercise"
ernst2024-dance,"Ernst et al. 2024, Cochrane CD013856.pub3 (PMID 38588457)",meta-analysis,mild-moderate PD,2721,multi-domain,passive control,UPDRS motor,points,1.5,mean-diff,-10.18,-14.87,-5.36,,decrease,medium,PD,true,context.pd-dance,"dance largest effect of any modality; gait/balance training -7.50 [-11.39,-3.48]; multi-domain -5.90 [-9.11,-2.68]"
sacheli2019,"Sacheli et al. 2019, Mov Disord 34(12):1891-1900 (PMID 31584222)",RCT,PD,35,aerobic-exercise,non-aerobic control,caudate dopamine release (raclopride PET),,3,qualitative,,,,0.04,increase,medium,PD,false,coef.dopa.ex,"36 aerobic sessions increased rTMS-evoked caudate dopamine release (p=.04); magnitude not in abstract; the only human PD dopamine-imaging RCT behind the exercise->dopamine term"
fisher2013,"Fisher et al. 2013, NeuroReport 24(10):509-514 (PMID 23636255)",RCT,early PD pilot,4,aerobic-exercise,no exercise,D2 receptor binding potential (fallypride PET),,2,qualitative,,,,,increase,low,PD,false,coef.dopa.ex,"n=4 PD; 8 wks treadmill; feasibility study with no group statistics; suggestive mechanism only"
tsukita2022,"Tsukita, Sakamaki-Tsukita & Takahashi 2022, Neurology 98(8):e859-e871 (PMID 35022304)",cohort,early PD (PPMI),237,aerobic-exercise,lower activity,postural/gait stability decline,standardized beta (activity x time),60,other,-0.1,-0.14,-0.06,,decrease,medium,PD,true,context.pd-exercise-dose,"sustained (not baseline) physical activity slowed postural/gait decline; MVPA beta -0.09; processing speed beta 0.05; Class II"
kjaer2002,"Kjaer et al. 2002, Cognitive Brain Research 13(2):255-259 (PMID 11958969)",other,healthy experienced Yoga Nidra meditators,,meditation,attending to speech,ventral striatal dopamine release (raclopride PET),% change during session,0,percent-change,65,,,,increase,low,healthy,true,context.meditation-dopamine,"-7.9% raclopride binding = +65% endogenous dopamine release DURING meditation; healthy subjects, ventral (limbic) striatum, acute only; does NOT support lasting nigral sparing in PD; n not stated in abstract"
kwok2025-med,"Kwok et al. 2025, Psychother Psychosom 94(2):101-118 (PMID 40024243)",RCT,PD H&Y 1-3,159,meditation,usual care,MDS-UPDRS-III,points,2,mean-diff,-5.35,-8.61,-2.09,,decrease,medium,PD,true,coef.updrs.med,"90 min/wk x 8 wks; -4.01 [-7.43,-0.59] at 6 mo; participants unblinded vs usual care (expectancy inflation likely); IL-6 reduced at 6 mo"
kwok2025-yoga,"Kwok et al. 2025, Psychother Psychosom 94(2):101-118 (PMID 40024243)",RCT,PD H&Y 1-3,159,meditation,usual care,MDS-UPDRS-III,points,2,mean-diff,-6.59,-9.82,-3.36,,decrease,medium,PD,true,context.pd-yoga,"yoga arm; benefit did not persist to 6 mo (-2.77 [-6.06,0.51])"
zhang2026,"Zhang et al. 2026, Front Neurol 17:1860499",meta-analysis,PD,992,meditation,usual care / physical therapy,UPDRS-III,points,,mean-diff,-4.74,-6.78,-2.7,0.00001,decrease,medium,PD,true,coef.updrs.med,"18 RCTs of mindfulness-based EXERCISE (tai chi/yoga/qigong/walking meditation); movement-based, not seated meditation"
advocat2016,"Advocat et al. 2016, BMC Neurol 16:166 (PMID 27608621)",RCT,PD H&Y 2,72,meditation,wait-list,PDQ-39 summary index,t-score,6,qualitative,,,,0.16,null-effect,medium,PD,true,coef.updrs.med,"6-wk mindfulness lifestyle program NULL on primary outcome (p=.56 post, .16 at 6 mo); counterweight to Kwok 2025"
li2012,"Li et al. 2012, NEJM 366(6):511-519 (PMID 22316445)",RCT,PD H&Y 1-4,195,tai-chi,stretching,UPDRS-III,points,6,mean-diff,-5.02,-6.9,-3.13,,decrease,high,PD,true,context.pd-taichi,"falls IRR 0.33 [0.16,0.71]; vs resistance training -1.34 (ns); maintained 3 mo post-intervention"
li2024,"Li et al. 2024, J Neurol Neurosurg Psychiatry 95(3):222-228 (PMID 37875337)",cohort,PD,330,tai-chi,no exercise,annual UPDRS deterioration,,42,qualitative,,,,,decrease,medium,PD,false,context.pd-taichi,"slower annual UPDRS deterioration & LEDD rise over 3.5 yrs; no numeric UPDRS in abstract; non-randomised (self-selection)"
zhao2025,"Zhao et al. 2025, Front Aging Neurosci 17:1620172",meta-analysis,PD vs healthy controls,5011,none,healthy controls,BDNF,peripheral blood SMD,,SMD,-1.037,-1.412,-0.662,0.001,decrease,medium,PD,true,context.pd-bdnf-deficit,"38 studies I2=97%; serum subgroup -1.10; quantifies Hao 2025's qualitative deficit; not applied to model's BDNF base (an AD starting-point assumption)"
suleymanogullari2025,"Suleymanogullari et al. 2025, Brain Sci 16(1):39 (PMID 41594760)",meta-analysis,clinical populations (no PD trials),850,aerobic-exercise,non-exercise control,BDNF,SMD,,SMD,1.03,0.56,1.49,0.0001,increase,medium,mixed,true,context.exercise-bdnf-dose,"19 RCTs; aerobic 1.44 [0.36,2.52]; meta-regression found NO dose-response with duration/frequency/minutes (p>.23); model keeps linear dose scaling for lack of a better-supported shape"
okonkwo2014,"Okonkwo et al. 2014, Neurology 83(19):1753-1760 (PMID 25298312)",cohort,late-middle-aged at-risk (WRAP),186,aerobic-exercise,physically inactive,age x activity interaction on PiB-PET amyloid,interaction p only,,qualitative,,,,0.014,decrease,medium,healthy,false,context.exercise-amyloid,"cross-sectional; also age x PA on hippocampal volume p=.025, FDG p=.015; no SUVR difference reported, cannot size a clearance coefficient"
slee2024,"Slee et al. 2024, Alzheimers Dement 20(2):1350-1359 (PMID 37984813)",cohort,cognitively unimpaired >=60 (AIBL) 15-yr follow-up,731,aerobic-exercise,lower habitual activity,brain amyloid (PET) over time,standardized beta,180,other,-0.26,,,0.24,null-effect,high,healthy,true,coef.plaque.ex,"longitudinal NULL: baseline beta -0.001 p=.72; APOE e4 did NOT moderate (beta 0.12 p=.73); strongest evidence against an exercise->plaque-clearance term; model's exercise clearance ZEROED 2026-09-11"
